"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Does the page load?","radoslav radoslav","2/23/2023 1:36 PM","300s","300s","High","jira number ticket","Login page","0","","Master","S1","Other","radoslav radoslav","2/23/2023 2:45 PM"
"C2","Does the logo exist?","radoslav radoslav","2/23/2023 1:36 PM","300s","300s","High","jira number ticket","Login page","0","","Master","S1","Other","radoslav radoslav","2/23/2023 2:24 PM"
"C3","Does the austronaut appears?","radoslav radoslav","2/23/2023 1:37 PM","120s","120s","Medium","jira number ticket","Login page","0","","Master","S1","Other","radoslav radoslav","2/24/2023 1:24 PM"
"C4","Does the username input field load (appear)","radoslav radoslav","2/23/2023 1:39 PM","300s","300s","High","jira number ticket","Login page","0","","Master","S1","Other","radoslav radoslav","2/24/2023 1:24 PM"
"C5","Does the password unput field load (appear)","radoslav radoslav","2/23/2023 1:39 PM","300s","300s","High","jira number ticket","Login page","0","","Master","S1","Other","radoslav radoslav","2/24/2023 1:27 PM"
"C6","Does the login button load (appear)","radoslav radoslav","2/23/2023 1:40 PM","300s","300s","High","jira number ticket","Login page","0","","Master","S1","Other","radoslav radoslav","2/24/2023 1:34 PM"
"C7","Are the buttons positioned correctly","radoslav radoslav","2/23/2023 1:41 PM","120s","120s","Medium","jira number ticket","Login page","0","","Master","S1","Other","radoslav radoslav","2/24/2023 1:38 PM"
"C14","Login with valid credentials","radoslav radoslav","2/23/2023 2:59 PM","120s","120s","High","jira number ticket","Positive test cases","1","","Master","S1","Other","radoslav radoslav","2/23/2023 10:11 PM"
"C15","Login with wrong credentials","radoslav radoslav","2/23/2023 3:00 PM","120s","120s","High","jira number ticket","Negative test cases","1","","Master","S1","Other","radoslav radoslav","2/23/2023 10:20 PM"
"C8","Does the dropdown menu exist","radoslav radoslav","2/23/2023 2:56 PM","300s","300s","High","jira number ticket","arrange dropdown section menu","1","","Master","S1","Other","radoslav radoslav","2/23/2023 3:38 PM"
"C9","Does it contains all four options","radoslav radoslav","2/23/2023 2:56 PM","300s","300s","High","jira number ticket","arrange dropdown section menu","1","","Master","S1","Other","radoslav radoslav","2/23/2023 9:26 PM"
"C10","Sort by name A-Z","radoslav radoslav","2/23/2023 2:57 PM","300s","300s","Medium","jira number ticket","arrange dropdown section menu","1","","Master","S1","Other","radoslav radoslav","2/23/2023 9:32 PM"
"C11","Sort by name Z-A","radoslav radoslav","2/23/2023 2:57 PM","300s","300s","Medium","jira number ticket","arrange dropdown section menu","1","","Master","S1","Other","radoslav radoslav","2/23/2023 9:38 PM"
"C12","Sort by price Low-High","radoslav radoslav","2/23/2023 2:58 PM","300s","300s","Medium","jira number ticket","arrange dropdown section menu","1","","Master","S1","Other","radoslav radoslav","2/23/2023 10:00 PM"
"C13","Sort by price High-Low","radoslav radoslav","2/23/2023 2:58 PM","300s","300s","Medium","jira number ticket","arrange dropdown section menu","1","","Master","S1","Other","radoslav radoslav","2/23/2023 10:01 PM"
"C64","Items page exists","radoslav radoslav","3/7/2023 10:54 AM","300s","","High","jira number ticket","Make a purchase","2","","Master","S1","Other","radoslav radoslav","3/7/2023 11:09 AM"
"C65","Price of each product is visble","radoslav radoslav","3/7/2023 10:58 AM","300s","","High","jira number ticket","Make a purchase","2","","Master","S1","Other","radoslav radoslav","3/7/2023 11:19 AM"
"C66","Description of each product is visible","radoslav radoslav","3/7/2023 10:58 AM","300s","","Medium","jira number ticket","Make a purchase","2","","Master","S1","Other","radoslav radoslav","3/7/2023 11:20 AM"
"C67","User is able to add item to the cart","radoslav radoslav","3/7/2023 11:00 AM","300s","","High","jira number ticket","Make a purchase","2","","Master","S1","Other","radoslav radoslav","3/7/2023 11:33 AM"
"C72","User is able to add multiple items to the cart","radoslav radoslav","3/7/2023 11:34 AM","300s","","High","jira number ticket","Make a purchase","2","","Master","S1","Other","radoslav radoslav","3/7/2023 11:36 AM"
"C69","User is able to remove item from the cart","radoslav radoslav","3/7/2023 11:01 AM","300s","","Medium","jira number ticket","Make a purchase","2","","Master","S1","Other","radoslav radoslav","3/7/2023 11:45 AM"
"C73","User is able to remove multiple  items from the cart","radoslav radoslav","3/7/2023 11:46 AM","300s","","Medium","jira number ticket","Make a purchase","2","","Master","S1","Other","radoslav radoslav","3/7/2023 11:47 AM"
"C71","User is able to see a picture of the items","radoslav radoslav","3/7/2023 11:20 AM","300s","","Medium","jira number ticket","Make a purchase","2","","Master","S1","Other","radoslav radoslav","3/7/2023 11:27 AM"
